[2020-01-12T05:47:37] T = 370000 / 50000000 | Avg. reward: -197.78106258459388 | Avg. Q: -9.805887222290039
[2020-01-12T06:06:25] T = 380000 / 50000000 | Avg. reward: -197.7517578047607 | Avg. Q: -9.820586204528809
[2020-01-12T06:25:15] T = 390000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.850722312927246
[2020-01-12T06:44:07] T = 400000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.858124732971191
[2020-01-12T07:02:58] T = 410000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.827055931091309
[2020-01-12T07:21:48] T = 420000 / 50000000 | Avg. reward: -197.764898134619 | Avg. Q: -9.837262153625488
[2020-01-12T07:40:39] T = 430000 / 50000000 | Avg. reward: -198.88952533679083 | Avg. Q: -9.810011863708496
[2020-01-12T07:59:34] T = 440000 / 50000000 | Avg. reward: -197.70354120001662 | Avg. Q: -9.797481536865234
[2020-01-12T08:18:28] T = 450000 / 50000000 | Avg. reward: -198.90024906734004 | Avg. Q: -9.819024085998535
[2020-01-12T08:37:21] T = 460000 / 50000000 | Avg. reward: -198.89199224125593 | Avg. Q: -9.8041353225708
[2020-01-12T08:56:14] T = 470000 / 50000000 | Avg. reward: -197.72956714987754 | Avg. Q: -9.844511032104492
[2020-01-12T09:15:04] T = 480000 / 50000000 | Avg. reward: -197.72524677076376 | Avg. Q: -9.847640991210938
[2020-01-12T09:33:54] T = 490000 / 50000000 | Avg. reward: -197.71961112028453 | Avg. Q: -9.817090034484863
[2020-01-12T09:52:50] T = 500000 / 50000000 | Avg. reward: -196.60123509074094 | Avg. Q: -9.831605911254883
[2020-01-12T10:11:42] T = 510000 / 50000000 | Avg. reward: -197.73094228398054 | Avg. Q: -9.827034950256348
[2020-01-12T10:30:34] T = 520000 / 50000000 | Avg. reward: -197.7452050601039 | Avg. Q: -9.807116508483887
[2020-01-12T10:49:25] T = 530000 / 50000000 | Avg. reward: -198.88365859502926 | Avg. Q: -9.815557479858398
[2020-01-12T11:08:18] T = 540000 / 50000000 | Avg. reward: -197.77241576182655 | Avg. Q: -9.80759334564209
[2020-01-12T11:27:10] T = 550000 / 50000000 | Avg. reward: -198.84672373032197 | Avg. Q: -9.828473091125488
[2020-01-12T11:46:02] T = 560000 / 50000000 | Avg. reward: -198.8360331191169 | Avg. Q: -9.833353996276855
[2020-01-12T12:04:55] T = 570000 / 50000000 | Avg. reward: -197.66924801095388 | Avg. Q: -9.82532024383545
[2020-01-12T12:23:46] T = 580000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.81578540802002
[2020-01-12T12:42:40] T = 590000 / 50000000 | Avg. reward: -197.7991724910587 | Avg. Q: -9.810981750488281
[2020-01-12T13:01:33] T = 600000 / 50000000 | Avg. reward: -198.88531416526064 | Avg. Q: -9.822050094604492
[2020-01-12T13:20:32] T = 610000 / 50000000 | Avg. reward: -197.77995726907625 | Avg. Q: -9.830106735229492
[2020-01-12T13:39:28] T = 620000 / 50000000 | Avg. reward: -198.86476132098585 | Avg. Q: -9.819138526916504
[2020-01-12T13:58:26] T = 630000 / 50000000 | Avg. reward: -197.80070997051894 | Avg. Q: -9.818642616271973
[2020-01-12T14:17:25] T = 640000 / 50000000 | Avg. reward: -197.77289397943764 | Avg. Q: -9.836535453796387
[2020-01-12T14:36:23] T = 650000 / 50000000 | Avg. reward: -196.6098189931223 | Avg. Q: -9.826506614685059
[2020-01-12T14:55:23] T = 660000 / 50000000 | Avg. reward: -198.85615699586458 | Avg. Q: -9.833348274230957
[2020-01-12T15:14:21] T = 670000 / 50000000 | Avg. reward: -197.63893786712083 | Avg. Q: -9.841257095336914
[2020-01-12T15:33:17] T = 680000 / 50000000 | Avg. reward: -198.89460604649037 | Avg. Q: -9.81452465057373
[2020-01-12T15:52:15] T = 690000 / 50000000 | Avg. reward: -197.74580992151982 | Avg. Q: -9.825056076049805
[2020-01-12T16:11:11] T = 700000 / 50000000 | Avg. reward: -198.90071938849985 | Avg. Q: -9.827774047851562
[2020-01-12T16:30:12] T = 710000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.837424278259277
[2020-01-12T16:49:13] T = 720000 / 50000000 | Avg. reward: -195.29054329798555 | Avg. Q: -9.826568603515625
[2020-01-12T17:08:14] T = 730000 / 50000000 | Avg. reward: -198.85104113781824 | Avg. Q: -9.817120552062988
[2020-01-12T17:27:17] T = 740000 / 50000000 | Avg. reward: -197.75425828154198 | Avg. Q: -9.84934139251709
[2020-01-12T17:46:11] T = 750000 / 50000000 | Avg. reward: -196.61298456192947 | Avg. Q: -9.813492774963379
[2020-01-12T18:05:05] T = 760000 / 50000000 | Avg. reward: -198.8983293488808 | Avg. Q: -9.82231616973877
[2020-01-12T18:24:03] T = 770000 / 50000000 | Avg. reward: -197.78297563198953 | Avg. Q: -9.834110260009766
[2020-01-12T18:43:01] T = 780000 / 50000000 | Avg. reward: -197.79755952604114 | Avg. Q: -9.835254669189453
[2020-01-12T19:01:56] T = 790000 / 50000000 | Avg. reward: -197.83201952300965 | Avg. Q: -9.824054718017578
[2020-01-12T19:20:47] T = 800000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.822333335876465
[2020-01-12T19:39:42] T = 810000 / 50000000 | Avg. reward: -197.76752055551856 | Avg. Q: -9.829928398132324
[2020-01-12T19:58:38] T = 820000 / 50000000 | Avg. reward: -198.8462963510491 | Avg. Q: -9.83121109008789
[2020-01-12T20:17:38] T = 830000 / 50000000 | Avg. reward: -197.79893170459195 | Avg. Q: -9.832818984985352
[2020-01-12T20:36:32] T = 840000 / 50000000 | Avg. reward: -197.75402147182263 | Avg. Q: -9.831846237182617
[2020-01-12T20:55:26] T = 850000 / 50000000 | Avg. reward: -198.8998756684549 | Avg. Q: -9.827618598937988
[2020-01-12T21:14:25] T = 860000 / 50000000 | Avg. reward: -198.84587715717032 | Avg. Q: -9.836897850036621
[2020-01-12T21:33:18] T = 870000 / 50000000 | Avg. reward: -196.60256479632574 | Avg. Q: -9.828539848327637
[2020-01-12T21:52:10] T = 880000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.825789451599121
[2020-01-12T22:11:04] T = 890000 / 50000000 | Avg. reward: -198.9018700687401 | Avg. Q: -9.818970680236816
[2020-01-12T22:30:00] T = 900000 / 50000000 | Avg. reward: -197.77979560265317 | Avg. Q: -9.833932876586914
[2020-01-12T22:48:54] T = 910000 / 50000000 | Avg. reward: -198.8642568016611 | Avg. Q: -9.81026554107666
[2020-01-12T23:07:46] T = 920000 / 50000000 | Avg. reward: -196.532355465563 | Avg. Q: -9.790990829467773
[2020-01-12T23:26:39] T = 930000 / 50000000 | Avg. reward: -198.8751312574558 | Avg. Q: -9.83238697052002
[2020-01-12T23:45:33] T = 940000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.827840805053711
[2020-01-13T00:04:26] T = 950000 / 50000000 | Avg. reward: -198.83700966147705 | Avg. Q: -9.817160606384277
[2020-01-13T00:23:21] T = 960000 / 50000000 | Avg. reward: -198.88048978161066 | Avg. Q: -9.838197708129883
[2020-01-13T00:42:15] T = 970000 / 50000000 | Avg. reward: -198.8344331448851 | Avg. Q: -9.840180397033691
[2020-01-13T01:01:09] T = 980000 / 50000000 | Avg. reward: -197.79765170043333 | Avg. Q: -9.800954818725586
[2020-01-13T01:20:01] T = 990000 / 50000000 | Avg. reward: -196.61393029322846 | Avg. Q: -9.828545570373535
[2020-01-13T01:38:55] T = 1000000 / 50000000 | Avg. reward: -198.87573465716093 | Avg. Q: -9.820704460144043
[2020-01-13T01:57:48] T = 1010000 / 50000000 | Avg. reward: -198.88638015707954 | Avg. Q: -9.828836441040039
[2020-01-13T02:16:44] T = 1020000 / 50000000 | Avg. reward: -200.0 | Avg. Q: -9.818516731262207
[2020-01-13T02:35:40] T = 1030000 / 50000000 | Avg. reward: -198.8935712963529 | Avg. Q: -9.822918891906738
[2020-01-13T02:54:34] T = 1040000 / 50000000 | Avg. reward: -197.7309321417613 | Avg. Q: -9.83476448059082
[2020-01-13T03:13:34] T = 1050000 / 50000000 | Avg. reward: -198.89752728782594 | Avg. Q: -9.82037353515625
[2020-01-13T03:32:33] T = 1060000 / 50000000 | Avg. reward: -197.77669410523026 | Avg. Q: -9.818563461303711
[2020-01-13T03:51:29] T = 1070000 / 50000000 | Avg. reward: -198.84595723042264 | Avg. Q: -9.820186614990234
[2020-01-13T04:10:24] T = 1080000 / 50000000 | Avg. reward: -197.7836503491178 | Avg. Q: -9.828437805175781
[2020-01-13T04:29:22] T = 1090000 / 50000000 | Avg. reward: -198.8871567762643 | Avg. Q: -9.84175968170166
[2020-01-13T04:48:18] T = 1100000 / 50000000 | Avg. reward: -198.85054175287485 | Avg. Q: -9.834635734558105
[2020-01-13T05:07:15] T = 1110000 / 50000000 | Avg. reward: -198.86383615235798 | Avg. Q: -9.8221435546875
[2020-01-13T05:26:11] T = 1120000 / 50000000 | Avg. reward: -198.84261331019923 | Avg. Q: -9.81582260131836
[2020-01-13T05:45:07] T = 1130000 / 50000000 | Avg. reward: -196.62000136762856 | Avg. Q: -9.814888000488281
[2020-01-13T06:04:03] T = 1140000 / 50000000 | Avg. reward: -197.7794702814333 | Avg. Q: -9.828011512756348
[2020-01-13T06:23:01] T = 1150000 / 50000000 | Avg. reward: -197.74927301028742 | Avg. Q: -9.833003044128418
[2020-01-13T06:41:59] T = 1160000 / 50000000 | Avg. reward: -196.58250584288965 | Avg. Q: -9.822746276855469
[2020-01-13T07:00:53] T = 1170000 / 50000000 | Avg. reward: -197.7897064646147 | Avg. Q: -9.812836647033691
[2020-01-13T07:19:48] T = 1180000 / 50000000 | Avg. reward: -198.8800480026938 | Avg. Q: -9.825345993041992
[2020-01-13T07:38:44] T = 1190000 / 50000000 | Avg. reward: -196.57763560953083 | Avg. Q: -9.830679893493652
